ticket_id,created_at,descripcion,categoria,solucion
TKT0000,2025-11-04 06:27:14,El cliente reporta un problema con no enciende. Menciona que hace un ruido extraño. Se necesita revisión normal.,ELECTRICO,Verificar las conexiones del alternador.
TKT0001,2025-03-13 06:27:14,El cliente reporta un problema con error. Menciona que no funciona. Se necesita revisión normal.,SOFTWARE,Borrar caché y cookies del navegador.
TKT0002,2025-05-13 06:27:14,El cliente reporta un problema con app. Menciona que está fallando. Se necesita revisión normal.,SOFTWARE,Borrar caché y cookies del navegador.
TKT0003,2024-11-28 06:27:14,El cliente reporta un problema con importe. Menciona que da un error. Se necesita revisión normal.,FACTURACIÓN,Reenviar la factura al cliente.
TKT0004,2025-04-25 06:27:14,El cliente reporta un problema con transmisión. Menciona que no funciona. Se necesita revisión de seguimiento.,MECANICO,Realizar cambio de aceite y filtro.
TKT0005,2025-01-13 06:27:14,El cliente reporta un problema con transmisión. Menciona que no funciona. Se necesita revisión de seguimiento.,MECANICO,Realizar cambio de aceite y filtro.
TKT0006,2025-09-07 06:27:14,El cliente reporta un problema con importe. Menciona que da un error. Se necesita revisión urgente.,FACTURACIÓN,Emitir una nota de crédito si corresponde.
TKT0007,2025-03-29 06:27:14,El cliente reporta un problema con no llegó. Menciona que no funciona. Se necesita revisión urgente.,FACTURACIÓN,Verificar el estado del pago en el sistema.
TKT0008,2025-10-09 06:27:14,El cliente reporta un problema con luces. Menciona que hace un ruido extraño. Se necesita revisión normal.,ELECTRICO,Reemplazar el fusible quemado.
TKT0009,2025-10-12 06:27:14,El cliente reporta un problema con fusible. Menciona que está fallando. Se necesita revisión urgente.,ELECTRICO,Verificar las conexiones del alternador.
TKT0010,2024-12-28 06:27:14,El cliente reporta un problema con ruido. Menciona que está fallando. Se necesita revisión de seguimiento.,MECANICO,Inspeccionar la correa de distribución.
TKT0011,2025-08-31 06:27:14,El cliente reporta un problema con no funciona. Menciona que no funciona. Se necesita revisión normal.,SOFTWARE,Reiniciar el servidor de la aplicación.
TKT0012,2024-12-11 06:27:14,El cliente reporta un problema con no enciende. Menciona que está fallando. Se necesita revisión de seguimiento.,ELECTRICO,Revisar y cargar la batería.
TKT0013,2025-03-17 06:27:14,El cliente reporta un problema con vibración. Menciona que no funciona. Se necesita revisión normal.,MECANICO,Inspeccionar la correa de distribución.
TKT0014,2025-04-13 06:27:14,El cliente reporta un problema con sistema. Menciona que da un error. Se necesita revisión de seguimiento.,SOFTWARE,Reiniciar el servidor de la aplicación.
TKT0015,2025-01-16 06:27:14,El cliente reporta un problema con fusible. Menciona que está fallando. Se necesita revisión urgente.,ELECTRICO,Reemplazar el fusible quemado.
TKT0016,2025-01-22 06:27:14,El cliente reporta un problema con transmisión. Menciona que da un error. Se necesita revisión normal.,MECANICO,Inspeccionar la correa de distribución.
TKT0017,2025-05-26 06:27:14,El cliente reporta un problema con vibración. Menciona que hace un ruido extraño. Se necesita revisión de seguimiento.,MECANICO,Cambiar pastillas de freno.
TKT0018,2025-03-27 06:27:14,El cliente reporta un problema con arranque. Menciona que no funciona. Se necesita revisión urgente.,ELECTRICO,Revisar y cargar la batería.
TKT0019,2025-06-17 06:27:14,El cliente reporta un problema con aceite. Menciona que está fallando. Se necesita revisión urgente.,MECANICO,Inspeccionar la correa de distribución.
TKT0020,2024-12-31 06:27:14,El cliente reporta un problema con error. Menciona que da un error. Se necesita revisión normal.,SOFTWARE,Borrar caché y cookies del navegador.
TKT0021,2025-06-14 06:27:14,El cliente reporta un problema con pago. Menciona que está fallando. Se necesita revisión urgente.,FACTURACIÓN,Reenviar la factura al cliente.
TKT0022,2024-11-18 06:27:14,El cliente reporta un problema con arranque. Menciona que no funciona. Se necesita revisión urgente.,ELECTRICO,Revisar y cargar la batería.
TKT0023,2025-02-22 06:27:14,El cliente reporta un problema con pago. Menciona que hace un ruido extraño. Se necesita revisión de seguimiento.,FACTURACIÓN,Reenviar la factura al cliente.
TKT0024,2025-06-11 06:27:14,El cliente reporta un problema con arranque. Menciona que está fallando. Se necesita revisión de seguimiento.,ELECTRICO,Revisar y cargar la batería.
TKT0025,2025-04-10 06:27:14,El cliente reporta un problema con no llegó. Menciona que no funciona. Se necesita revisión de seguimiento.,FACTURACIÓN,Emitir una nota de crédito si corresponde.
TKT0026,2025-08-27 06:27:14,El cliente reporta un problema con alternador. Menciona que hace un ruido extraño. Se necesita revisión de seguimiento.,ELECTRICO,Revisar y cargar la batería.
TKT0027,2025-09-12 06:27:14,El cliente reporta un problema con luces. Menciona que no funciona. Se necesita revisión urgente.,ELECTRICO,Revisar y cargar la batería.
TKT0028,2025-11-06 06:27:14,El cliente reporta un problema con batería. Menciona que no funciona. Se necesita revisión normal.,ELECTRICO,Reemplazar el fusible quemado.
TKT0029,2025-08-21 06:27:14,El cliente reporta un problema con ruido. Menciona que hace un ruido extraño. Se necesita revisión normal.,MECANICO,Inspeccionar la correa de distribución.
